"","Timeline","Treatment","BaselineCondition","UVVR.avg","UVVR.se","Veg_Percent.avg","Veg_Percent.se","Veg_PChange.avg","Veg_PChange.se","Count"
"1",-10,"No Action","Degraded",0.20875,0.0638362162099227,83.38,4.1,NA,NA,4
"2",-10,"No Action","Healthy",0.025,0.008,97.61,0.76,NA,NA,2
"3",-10,"Reference","Healthy",0.0866,0.0300675905253481,92.26,2.55,NA,NA,5
"4",-10,"Runnel","Degraded",0.3404,0.0798702698129911,75.53,3.87,NA,NA,5
"5",-10,"Runnel","Healthy",0.029,NA,97.23,NA,NA,NA,1
"6",-9,"No Action","Degraded",0.2896,0.0873800384018633,80.11,4.2,NA,NA,10
"7",-9,"No Action","Healthy",0.0667142857142857,0.0114636366824143,93.82,1.01,NA,NA,7
"8",-9,"Reference","Healthy",0.0495384615384615,0.0102385742350614,95.37,0.9,NA,NA,13
"9",-9,"Runnel","Degraded",0.595,0.313412033215227,74.47,5.4,NA,NA,13
"10",-9,"Runnel","Healthy",0.0695,0.00971927392937794,93.55,0.85,NA,NA,8
"11",-8,"No Action","Degraded",0.215,0.0404927977135029,82.75,2.71,1.14,0.65,6
"12",-8,"No Action","Healthy",0.038,0.014,96.37,1.31,-1.24,0.55,2
"13",-8,"Reference","Healthy",0.0758333333333333,0.029259091654466,93.24,2.42,-0.28,0.84,6
"14",-8,"Runnel","Degraded",0.299833333333333,0.0746205586804185,78.06,3.95,0.08,0.6,6
"15",-8,"Runnel","Healthy",0.034,NA,96.73,NA,-0.5,NA,1
"16",-7,"No Action","Degraded",0.366235294117647,0.0624670812962695,75.49,3.14,-1.1,0.57,17
"17",-7,"No Action","Healthy",0.0578571428571429,0.0125989957487711,94.6,1.11,0.79,0.6,7
"18",-7,"Reference","Healthy",0.04944,0.0135697064571542,95.59,1.03,0.35,0.23,25
"19",-7,"Runnel","Degraded",0.677578947368421,0.228598083364815,68.24,4.11,-1.92,0.34,19
"20",-7,"Runnel","Healthy",0.061,0.0136654158276867,94.46,1.19,-0.29,0.34,13
"21",-6,"No Action","Degraded",0.218181818181818,0.0367479914557661,82.76,2.34,-1.81,0.79,11
"22",-6,"No Action","Healthy",0.0422857142857143,0.0108577694054803,96.07,0.99,-1.49,0.69,7
"23",-6,"Reference","Healthy",0.0408125,0.013487098387595,96.32,1.16,-0.55,0.12,16
"24",-6,"Runnel","Degraded",0.4928,0.166631116208495,72.02,5.21,-1.82,0.57,10
"25",-6,"Runnel","Healthy",0.0745714285714286,0.0219976807682918,93.3,1.85,-1.33,NA,7
"26",-5,"No Action","Degraded",0.281407407407407,0.0315970110770107,79.15,1.78,0.63,0.98,27
"27",-5,"No Action","Healthy",0.0636666666666667,0.00872894291678233,94.05,0.76,0.23,0.55,9
"28",-5,"Reference","Healthy",0.0485357142857143,0.0132208031260799,95.7,0.97,0.26,0.35,28
"29",-5,"Runnel","Degraded",0.601818181818182,0.199041802439732,70.75,3.73,-0.02,0.54,22
"30",-5,"Runnel","Healthy",0.0612857142857143,0.0170939320161846,94.54,1.37,-0.4,0.58,14
"31",-4,"No Action","Degraded",0.246909090909091,0.0554004355981323,81.5,3.09,-2.25,3.3,11
"32",-4,"No Action","Healthy",0.029625,0.008039939365443,97.14,0.76,0.38,0.82,8
"33",-4,"Reference","Healthy",0.0373529411764706,0.0102250201986247,96.55,0.9,-0.11,0.4,17
"34",-4,"Runnel","Degraded",0.588727272727273,0.292057873807389,72.92,5.74,-2.05,1.43,11
"35",-4,"Runnel","Healthy",0.0429,0.0142707548659643,96.06,1.25,1.49,1.18,10
"36",-3,"No Action","Degraded",0.424,0.0728908016523158,73.38,2.35,-1.57,0.59,29
"37",-3,"No Action","Healthy",0.101,0.0260224262255975,90.99,2.1,-0.1,0.34,4
"38",-3,"Reference","Healthy",0.0504347826086957,0.0204077821790177,95.76,1.41,-0.79,0.53,23
"39",-3,"Runnel","Degraded",0.7814,0.249574914927201,65.82,3.08,-4.11,0.64,30
"40",-3,"Runnel","Healthy",0.0626666666666667,0.0229722054279127,94.49,1.9,-1.15,0.68,9
"41",-2,"No Action","Degraded",0.262692307692308,0.038093404876291,79.91,2.18,-2.87,1.64,13
"42",-2,"No Action","Healthy",0.0523333333333333,0.00945750730607407,95.05,0.85,-0.4,0.32,12
"43",-2,"Reference","Healthy",0.04355,0.00779422019326197,95.93,0.69,-0.67,0.29,20
"44",-2,"Runnel","Degraded",0.553444444444444,0.235018918334905,71.34,6,-4.37,1.38,9
"45",-2,"Runnel","Healthy",0.0747142857142857,0.0251942843185392,93.62,1.87,-0.72,1.17,14
"46",-1,"No Action","Degraded",0.405333333333333,0.0574841374088526,73.56,2.16,-1.88,0.83,30
"47",-1,"No Action","Healthy",0.0842,0.0160542829176516,92.33,1.37,-1.46,1.87,5
"48",-1,"Reference","Healthy",0.0715217391304348,0.020547531858478,93.66,1.47,-1.64,0.79,23
"49",-1,"Runnel","Degraded",0.691433333333333,0.176369450812993,65.52,2.5,-1.62,0.7,30
"50",-1,"Runnel","Healthy",0.05875,0.0182098383926304,94.67,1.63,-1.84,1.1,8
"51",0,"No Action","Degraded",0.345588235294118,0.0548556969817127,75.98,2.64,-6.51,3,17
"52",0,"No Action","Healthy",0.05325,0.0143573649591918,95.05,1.25,-0.9,0.49,8
"53",0,"Reference","Healthy",0.041,0.00445566394339503,96.08,0.41,-2.08,0.52,17
"54",0,"Runnel","Degraded",0.689545454545455,0.381491483608895,71.99,6.01,-7.32,1.47,11
"55",0,"Runnel","Healthy",0.0496363636363636,0.0124617762685981,95.39,1.13,0.96,1.26,11
"56",1,"No Action","Degraded",0.4464,0.0900907690424866,72.49,2.43,-1.44,1.13,25
"57",1,"No Action","Healthy",0.0946666666666667,0.0225782589625015,91.47,1.86,0.23,1.39,3
"58",1,"Reference","Healthy",0.0663333333333333,0.0226976431934231,94.37,1.58,-1.73,0.51,18
"59",1,"Runnel","Degraded",0.4201,0.0563827567892693,72.41,2.64,6.16,1.58,20
"60",1,"Runnel","Healthy",0.0233333333333333,0.007800284895082,97.72,0.72,1.01,1.63,6
"61",2,"No Action","Degraded",0.333909090909091,0.0706608358216082,76.58,3.07,-2.34,0.75,11
"62",2,"No Action","Healthy",0.0427142857142857,0.00899924411035855,95.98,0.78,-0.6,0.75,7
"63",2,"Reference","Healthy",0.0461538461538462,0.00601370886226453,95.65,0.55,-2.21,0.73,13
"64",2,"Runnel","Degraded",0.6582,0.340564916311446,70.99,6,0.79,1.68,10
"65",2,"Runnel","Healthy",0.0283,0.00712593073842911,97.31,0.68,2.56,1.55,10
"66",3,"No Action","Degraded",0.4,0.0860800493248865,74.65,2.73,-2.35,1.35,22
"67",3,"No Action","Healthy",0.081,0.007,92.56,0.57,1.32,2.61,3
"68",3,"Reference","Healthy",0.0408571428571429,0.0140516539806471,96.33,1.31,-1.65,1.06,7
"69",3,"Runnel","Degraded",0.439,0.156671607660925,76.55,4.37,6.93,2.43,17
"70",3,"Runnel","Healthy",0.034,NA,97,NA,-1.44,NA,1
"71",4,"No Action","Degraded",0.364,0.0536989982921694,74.48,2.25,0.83,2.36,14
"72",4,"No Action","Healthy",0.0425,0.0125,95.92,1.1,-2.02,0,2
"73",4,"Reference","Healthy",0.0827857142857143,0.0288124245504823,93.06,2.06,-2.49,1.09,14
"74",4,"Runnel","Degraded",0.312625,0.0867518911897602,78.52,4.73,13.07,4.61,8
"75",4,"Runnel","Healthy",0.009375,0.0047280980017641,99.08,0.46,1.88,1.75,8
"76",5,"No Action","Degraded",0.473090909090909,0.133681266420301,71.69,4.34,1.52,2.8,11
"77",5,"No Action","Healthy",0.0525,0.0182861514084657,95.15,1.62,0.84,2.03,6
"78",5,"Reference","Healthy",0.0305454545454545,0.00715206726168752,97.17,0.69,-1.29,0.78,11
"79",5,"Runnel","Degraded",0.279636363636364,0.0812229560841104,80.74,4.18,15.25,3.2,11
"80",5,"Runnel","Healthy",0.0218333333333333,0.00881066273204109,97.92,0.84,5.05,2,6
"81",6,"No Action","Degraded",0.2573,0.0283795896924376,79.89,1.73,-3.3,1.9,10
"82",6,"No Action","Healthy",0.0895,0.0215,91.81,1.8,-2.26,0.65,2
"83",6,"Reference","Healthy",0.077,0.0118462370959446,92.87,1.03,-3.1,1.38,3
"84",6,"Runnel","Degraded",0.280333333333333,0.116470787944636,79.52,7.82,1.1,3.67,3
