"","Site","State","Tideshed","Acres","Hectares","Treatment","Age_2021","Runnel_Install","Image_Date","UVVR","Timeline","UVVR_Earliest","Veg_Area","Veg_Earliest","Veg_Percent","Veg_PChange","Tideshed_ID","Timeline.Baseline","UVVR.Baseline","BaselineCondition"
"1","Broad Cove","MA",1,0.956,0.387,"Reference",4,2017,2010,0.021,-7,0.021,0.379,0.379,97.9328165374677,NA,"1",-1,0.02,"Healthy"
"2","Broad Cove","MA",1,0.956,0.387,"Reference",4,2017,2012,0,-5,0.021,0.387,0.379,100,2.07,"1",-1,0.02,"Healthy"
"3","Broad Cove","MA",1,0.956,0.387,"Reference",4,2017,2014,0.003,-3,0.021,0.386,0.379,99.7416020671835,1.81,"1",-1,0.02,"Healthy"
"4","Broad Cove","MA",1,0.956,0.387,"Reference",4,2017,2016,0.02,-1,0.021,0.38,0.379,98.1912144702842,0.26,"1",-1,0.02,"Healthy"
"5","Broad Cove","MA",1,0.956,0.387,"Reference",4,2017,2018,0.012,1,0.021,0.383,0.379,98.9664082687339,1.03,"1",-1,0.02,"Healthy"
"6","Broad Cove","MA",1,0.956,0.387,"Reference",4,2017,2021,0.017,4,0.021,0.381,0.379,98.4496124031008,0.52,"1",-1,0.02,"Healthy"
"7","Broad Cove","MA",2,2.026,0.821,"Reference",4,2017,2010,0.054,-7,0.054,0.779,0.779,94.884287454324,NA,"2",-1,0.048,"Healthy"
"8","Broad Cove","MA",2,2.026,0.821,"Reference",4,2017,2012,0.006,-5,0.054,0.816,0.779,99.3909866017052,4.51,"2",-1,0.048,"Healthy"
"9","Broad Cove","MA",2,2.026,0.821,"Reference",4,2017,2014,0.034,-3,0.054,0.794,0.779,96.7113276492083,1.83,"2",-1,0.048,"Healthy"
"10","Broad Cove","MA",2,2.026,0.821,"Reference",4,2017,2016,0.048,-1,0.054,0.783,0.779,95.3714981729598,0.49,"2",-1,0.048,"Healthy"
"11","Broad Cove","MA",2,2.026,0.821,"Reference",4,2017,2018,0.037,1,0.054,0.792,0.779,96.4677222898904,1.58,"2",-1,0.048,"Healthy"
"12","Broad Cove","MA",2,2.026,0.821,"Reference",4,2017,2021,0.025,4,0.054,0.801,0.779,97.563946406821,2.68,"2",-1,0.048,"Healthy"
"13","Broad Cove","MA",3,1.655,0.67,"Runnel",4,2017,2010,0.007,-7,0.007,0.666,0.666,99.4029850746269,NA,"3",-1,0.004,"Healthy"
"14","Broad Cove","MA",3,1.655,0.67,"Runnel",4,2017,2012,0.004,-5,0.007,0.667,0.666,99.5522388059701,0.15,"3",-1,0.004,"Healthy"
"15","Broad Cove","MA",3,1.655,0.67,"Runnel",4,2017,2014,0.008,-3,0.007,0.665,0.666,99.2537313432836,-0.15,"3",-1,0.004,"Healthy"
"16","Broad Cove","MA",3,1.655,0.67,"Runnel",4,2017,2016,0.004,-1,0.007,0.668,0.666,99.7014925373134,0.3,"3",-1,0.004,"Healthy"
"17","Broad Cove","MA",3,1.655,0.67,"Runnel",4,2017,2018,0.004,1,0.007,0.667,0.666,99.5522388059701,0.15,"3",-1,0.004,"Healthy"
"18","Broad Cove","MA",3,1.655,0.67,"Runnel",4,2017,2021,0,4,0.007,0.67,0.666,100,0.6,"3",-1,0.004,"Healthy"
"19","Broad Cove","MA",4,1.91,0.774,"Runnel",4,2017,2010,0.003,-7,0.003,0.772,0.772,99.7416020671835,NA,"4",-1,0.005,"Healthy"
"20","Broad Cove","MA",4,1.91,0.774,"Runnel",4,2017,2012,0.003,-5,0.003,0.771,0.772,99.6124031007752,-0.13,"4",-1,0.005,"Healthy"
"21","Broad Cove","MA",4,1.91,0.774,"Runnel",4,2017,2014,0,-3,0.003,0.773,0.772,99.8708010335917,0.13,"4",-1,0.005,"Healthy"
"22","Broad Cove","MA",4,1.91,0.774,"Runnel",4,2017,2016,0.005,-1,0.003,0.77,0.772,99.4832041343669,-0.26,"4",-1,0.005,"Healthy"
"23","Broad Cove","MA",4,1.91,0.774,"Runnel",4,2017,2018,0.003,1,0.003,0.771,0.772,99.6124031007752,-0.13,"4",-1,0.005,"Healthy"
"24","Broad Cove","MA",4,1.91,0.774,"Runnel",4,2017,2021,0,4,0.003,0.773,0.772,99.8708010335917,0.13,"4",-1,0.005,"Healthy"
"25","Broad Cove","MA",5,1.012,0.41,"Reference",4,2017,2010,0.006,-7,0.006,0.407,0.407,99.2682926829268,NA,"5",-1,0.058,"Healthy"
"26","Broad Cove","MA",5,1.012,0.41,"Reference",4,2017,2012,0.004,-5,0.006,0.408,0.407,99.5121951219512,0.24,"5",-1,0.058,"Healthy"
"27","Broad Cove","MA",5,1.012,0.41,"Reference",4,2017,2014,0.002,-3,0.006,0.409,0.407,99.7560975609756,0.49,"5",-1,0.058,"Healthy"
"28","Broad Cove","MA",5,1.012,0.41,"Reference",4,2017,2016,0.058,-1,0.006,0.387,0.407,94.390243902439,-4.88,"5",-1,0.058,"Healthy"
"29","Broad Cove","MA",5,1.012,0.41,"Reference",4,2017,2018,0.046,1,0.006,0.392,0.407,95.609756097561,-3.66,"5",-1,0.058,"Healthy"
"30","Broad Cove","MA",5,1.012,0.41,"Reference",4,2017,2021,0.06,4,0.006,0.387,0.407,94.390243902439,-4.88,"5",-1,0.058,"Healthy"
"31","Broad Cove","MA",6,1.694,0.686,"Reference",4,2017,2010,0.001,-7,0.001,0.685,0.685,99.8542274052478,NA,"6",-1,0.012,"Healthy"
"32","Broad Cove","MA",6,1.694,0.686,"Reference",4,2017,2012,0,-5,0.001,0.686,0.685,100,0.15,"6",-1,0.012,"Healthy"
"33","Broad Cove","MA",6,1.694,0.686,"Reference",4,2017,2014,0,-3,0.001,0.686,0.685,100,0.15,"6",-1,0.012,"Healthy"
"34","Broad Cove","MA",6,1.694,0.686,"Reference",4,2017,2016,0.012,-1,0.001,0.678,0.685,98.8338192419825,-1.02,"6",-1,0.012,"Healthy"
"35","Broad Cove","MA",6,1.694,0.686,"Reference",4,2017,2018,0.015,1,0.001,0.676,0.685,98.5422740524781,-1.31,"6",-1,0.012,"Healthy"
"36","Broad Cove","MA",6,1.694,0.686,"Reference",4,2017,2021,0.018,4,0.001,0.674,0.685,98.2507288629738,-1.6,"6",-1,0.012,"Healthy"
"37","Broad Cove","MA",7,0.633,0.256,"Runnel",4,2017,2010,0.001,-7,0.001,0.256,0.256,100,NA,"7",-1,0.022,"Healthy"
"38","Broad Cove","MA",7,0.633,0.256,"Runnel",4,2017,2012,0.014,-5,0.001,0.253,0.256,98.828125,-1.17,"7",-1,0.022,"Healthy"
"39","Broad Cove","MA",7,0.633,0.256,"Runnel",4,2017,2014,0.028,-3,0.001,0.25,0.256,97.65625,-2.34,"7",-1,0.022,"Healthy"
"40","Broad Cove","MA",7,0.633,0.256,"Runnel",4,2017,2016,0.022,-1,0.001,0.251,0.256,98.046875,-1.95,"7",-1,0.022,"Healthy"
"41","Broad Cove","MA",7,0.633,0.256,"Runnel",4,2017,2018,0.016,1,0.001,0.252,0.256,98.4375,-1.56,"7",-1,0.022,"Healthy"
"42","Broad Cove","MA",7,0.633,0.256,"Runnel",4,2017,2021,0,4,0.001,0.256,0.256,100,0,"7",-1,0.022,"Healthy"
"43","Broad Cove","MA",8,0.746,0.302,"Reference",4,2017,2010,0.003,-7,0.003,0.301,0.301,99.6688741721854,NA,"8",-1,0.014,"Healthy"
"44","Broad Cove","MA",8,0.746,0.302,"Reference",4,2017,2012,0.002,-5,0.003,0.301,0.301,99.6688741721854,0,"8",-1,0.014,"Healthy"
"45","Broad Cove","MA",8,0.746,0.302,"Reference",4,2017,2014,0,-3,0.003,0.302,0.301,100,0.33,"8",-1,0.014,"Healthy"
"46","Broad Cove","MA",8,0.746,0.302,"Reference",4,2017,2016,0.014,-1,0.003,0.298,0.301,98.6754966887417,-0.99,"8",-1,0.014,"Healthy"
"47","Broad Cove","MA",8,0.746,0.302,"Reference",4,2017,2018,0.017,1,0.003,0.297,0.301,98.3443708609272,-1.32,"8",-1,0.014,"Healthy"
"48","Broad Cove","MA",8,0.746,0.302,"Reference",4,2017,2021,0.01,4,0.003,0.299,0.301,99.0066225165563,-0.66,"8",-1,0.014,"Healthy"
"49","Broad Cove","MA",9,1.909,0.773,"Reference",4,2017,2010,0.002,-7,0.002,0.771,0.771,99.7412677878396,NA,"9",-1,0.033,"Healthy"
"50","Broad Cove","MA",9,1.909,0.773,"Reference",4,2017,2012,0.006,-5,0.002,0.768,0.771,99.353169469599,-0.39,"9",-1,0.033,"Healthy"
"51","Broad Cove","MA",9,1.909,0.773,"Reference",4,2017,2014,0.001,-3,0.002,0.772,0.771,99.8706338939198,0.13,"9",-1,0.033,"Healthy"
"52","Broad Cove","MA",9,1.909,0.773,"Reference",4,2017,2016,0.033,-1,0.002,0.748,0.771,96.7658473479948,-2.98,"9",-1,0.033,"Healthy"
