"","Timeline","Treatment","UVVR.avg","UVVR.se","Veg_Percent.avg","Veg_Percent.se","Veg_PChange.avg","Veg_PChange.se","Count"
"1",-10,"No Action",0.1475,0.0559903265454549,88.12,3.97,NA,NA,6
"2",-10,"Reference",0.0866,0.0300675905253481,92.26,2.55,NA,NA,5
"3",-10,"Runnel",0.2885,0.0833453657979854,79.15,4.8,NA,NA,6
"4",-9,"No Action",0.197823529411765,0.0574344405857489,85.75,2.97,NA,NA,17
"5",-9,"Reference",0.0495384615384615,0.0102385742350614,95.37,0.9,NA,NA,13
"6",-9,"Runnel",0.394809523809524,0.199381897480899,81.74,3.9,NA,NA,21
"7",-8,"No Action",0.17075,0.0415278520995247,86.16,2.99,0.35,0.63,8
"8",-8,"Reference",0.0758333333333333,0.029259091654466,93.24,2.42,-0.28,0.84,6
"9",-8,"Runnel",0.261857142857143,0.0736172303108413,80.73,4.28,-0.01,0.51,7
"10",-7,"No Action",0.276291666666667,0.0528117205084973,81.07,2.87,-0.32,0.46,24
"11",-7,"Reference",0.04944,0.0135697064571542,95.59,1.03,0.35,0.23,25
"12",-7,"Runnel",0.42709375,0.144925901251566,78.89,3.38,-1.3,0.28,32
"13",-6,"No Action",0.149777777777778,0.0305638253811877,87.94,2.14,-1.73,0.55,18
"14",-6,"Reference",0.0408125,0.013487098387595,96.32,1.16,-0.55,0.12,16
"15",-6,"Runnel",0.320588235294118,0.109132544170984,80.78,4.04,-1.75,0.4,17
"16",-5,"No Action",0.226972222222222,0.0285407946995372,82.87,1.73,0.51,0.72,36
"17",-5,"Reference",0.0485357142857143,0.0132208031260799,95.7,0.97,0.26,0.35,28
"18",-5,"Runnel",0.391611111111111,0.128656835781462,80,3.04,-0.18,0.39,36
"19",-4,"No Action",0.155421052631579,0.0404615416123267,88.09,2.55,-1.23,1.97,19
"20",-4,"Reference",0.0373529411764706,0.0102250201986247,96.55,0.9,-0.11,0.4,17
"21",-4,"Runnel",0.328809523809524,0.161552433166856,83.94,3.95,-0.59,1,21
"22",-3,"No Action",0.384848484848485,0.0666363821537312,75.52,2.31,-1.38,0.52,33
"23",-3,"Reference",0.0504347826086957,0.0204077821790177,95.76,1.41,-0.79,0.53,23
"24",-3,"Runnel",0.615538461538462,0.197495362340377,72.44,3.1,-3.19,0.54,39
"25",-2,"No Action",0.16172,0.0292775522656295,87.18,1.94,-1.68,0.89,25
"26",-2,"Reference",0.04355,0.00779422019326197,95.93,0.69,-0.67,0.29,20
"27",-2,"Runnel",0.26204347826087,0.102805381933004,84.9,3.43,-2.15,0.95,23
"28",-1,"No Action",0.359457142857143,0.0528353768494058,76.24,2.17,-1.82,0.75,35
"29",-1,"Reference",0.0715217391304348,0.020547531858478,93.66,1.47,-1.64,0.79,23
"30",-1,"Runnel",0.558236842105263,0.14511751472009,71.66,2.79,-1.66,0.59,38
"31",0,"No Action",0.25204,0.0464568430553204,82.08,2.57,-4.2,1.95,25
"32",0,"Reference",0.041,0.00445566394339503,96.08,0.41,-2.08,0.52,17
"33",0,"Runnel",0.369590909090909,0.198904876861666,83.69,3.93,-2.98,1.3,22
"34",1,"No Action",0.408714285714286,0.0829694413232946,74.52,2.44,-1.26,1.02,28
"35",1,"Reference",0.0663333333333333,0.0226976431934231,94.37,1.58,-1.73,0.51,18
"36",1,"Runnel",0.328538461538462,0.0545812374290831,78.25,2.94,4.97,1.33,26
"37",2,"No Action",0.220666666666667,0.0546933818032118,84.13,2.95,-1.67,0.57,18
"38",2,"Reference",0.0461538461538462,0.00601370886226453,95.65,0.55,-2.21,0.73,13
"39",2,"Runnel",0.34325,0.18083899316068,84.15,4.21,1.67,1.13,20
"40",3,"No Action",0.36172,0.0784459372221829,76.8,2.67,-1.91,1.24,25
"41",3,"Reference",0.0408571428571429,0.0140516539806471,96.33,1.31,-1.65,1.06,7
"42",3,"Runnel",0.4165,0.149415227238454,77.69,4.28,6.46,2.33,18
"43",4,"No Action",0.3238125,0.0542374577475444,77.16,2.69,0.47,2.07,16
"44",4,"Reference",0.0827857142857143,0.0288124245504823,93.06,2.06,-2.49,1.09,14
"45",4,"Runnel",0.161,0.0573927986191067,88.8,3.51,7.48,2.79,16
"46",5,"No Action",0.324647058823529,0.0989388901253635,79.97,3.97,1.28,1.91,17
"47",5,"Reference",0.0305454545454545,0.00715206726168752,97.17,0.69,-1.29,0.78,11
"48",5,"Runnel",0.188647058823529,0.0602094347927489,86.8,3.37,11.65,2.46,17
"49",6,"No Action",0.229333333333333,0.0301936510819173,81.87,1.97,-3.12,1.58,12
"50",6,"Reference",0.077,0.0118462370959446,92.87,1.03,-3.1,1.38,3
"51",6,"Runnel",0.216,0.104505980690102,84.06,7.16,0.63,2.64,4
"52",7,"No Action",0.419,0.134373133061966,74.28,5.2,-7.25,1.38,9
"53",7,"Reference",0.085,0.035,92.27,2.92,-3.87,0.43,2
"54",7,"Runnel",0.07,0.0335425103413564,93.83,2.8,0.67,1.2,5
"55",8,"No Action",0.492888888888889,0.14954360609353,71.54,5.92,3.91,4.18,9
"56",8,"Reference",0.0055,0.0055,99.48,0.52,0.04,1.06,2
"57",8,"Runnel",0.2341,0.0814985275940615,83.72,4.57,17.96,4.02,10
