Date,Highest,MHHW (m),MHW (m),MSL (m),MTL (m),MLW (m),MLLW (m),Lowest (m)
1/1/1950,0.782,NaN,0.243,-0.3,-0.272,-0.788,NaN,-1.199
2/1/1950,0.721,NaN,0.273,-0.269,-0.245,-0.763,NaN,-1.108
3/1/1950,0.813,NaN,0.191,-0.364,-0.327,-0.848,NaN,-1.351
4/1/1950,0.721,NaN,0.298,-0.266,-0.224,-0.745,NaN,-1.077
5/1/1950,0.752,NaN,0.282,-0.297,-0.26,-0.8,NaN,-1.077
6/1/1950,0.752,NaN,0.313,-0.254,-0.211,-0.739,NaN,-0.986
7/1/1950,0.66,NaN,0.334,-0.224,-0.19,-0.714,NaN,-0.864
8/1/1950,0.569,NaN,0.359,-0.187,-0.157,-0.675,NaN,-0.833
9/1/1950,0.996,NaN,0.398,-0.144,-0.114,-0.623,NaN,-0.864
10/1/1950,0.996,NaN,0.389,-0.157,-0.114,-0.62,NaN,-1.077
11/1/1950,1.057,NaN,0.423,-0.126,-0.096,-0.617,NaN,-1.016
12/1/1950,1.026,NaN,0.377,-0.178,-0.138,-0.65,NaN,-1.016
1/1/1951,0.813,NaN,0.313,-0.251,-0.211,-0.733,NaN,-1.108
2/1/1951,1.178,NaN,0.291,-0.266,-0.236,-0.76,NaN,-1.412
3/1/1951,0.752,NaN,0.413,-0.141,-0.102,-0.614,NaN,-0.955
4/1/1951,0.721,NaN,0.365,-0.196,-0.157,-0.681,NaN,-1.077
5/1/1951,0.843,NaN,0.398,-0.157,-0.117,-0.632,NaN,-0.894
6/1/1951,0.813,NaN,0.444,-0.117,-0.077,-0.595,NaN,-0.833
7/1/1951,0.843,NaN,0.392,-0.163,-0.126,-0.641,NaN,-0.833
8/1/1951,0.813,NaN,0.432,-0.117,-0.086,-0.605,NaN,-0.833
9/1/1951,0.752,NaN,0.413,-0.154,-0.117,-0.647,NaN,-0.864
10/1/1951,0.843,NaN,0.45,-0.138,-0.096,-0.641,NaN,-0.925
11/1/1951,1.148,NaN,0.413,-0.172,-0.132,-0.681,NaN,-1.138
