Date,Highest,MHW (m),MSL (m),MTL (m),MLW (m),Lowest (m)
1/1/1920,6.005,5.352,3.984,3.978,2.603,1.92
2/1/1920,6.005,5.361,3.975,3.968,2.576,2.012
3/1/1920,6.066,5.31,3.901,3.892,2.475,1.89
4/1/1920,6.066,5.474,4.078,4.072,2.667,2.164
5/1/1920,6.066,5.392,4.008,3.999,2.603,1.951
6/1/1920,6.187,5.438,4.057,4.048,2.661,2.103
7/1/1920,6.066,5.41,4.033,4.017,2.624,2.012
8/1/1920,5.974,5.389,4.011,4.005,2.621,2.073
9/1/1920,5.974,5.419,4.039,4.033,2.646,2.377
10/1/1920,6.035,5.462,4.084,4.075,2.688,2.195
11/1/1920,6.157,5.392,4.026,4.014,2.637,2.073
12/1/1920,6.126,5.447,4.054,4.036,2.624,1.798
1/1/1921,NaN,5.416,4.039,4.014,2.612,NaN
2/1/1921,6.096,5.395,4.002,3.999,2.603,1.981
3/1/1921,5.791,5.319,3.932,3.923,2.53,1.981
4/1/1921,6.066,5.38,3.99,3.984,2.585,2.225
5/1/1921,6.005,5.441,4.063,4.06,2.679,2.225
6/1/1921,5.913,5.407,4.033,4.026,2.643,2.042
7/1/1921,6.035,5.416,4.014,4.011,2.606,2.012
8/1/1921,5.944,5.343,3.947,3.941,2.536,1.951
9/1/1921,5.944,5.404,4.011,4.002,2.603,1.981
10/1/1921,6.096,5.428,4.029,4.029,2.63,2.134
11/1/1921,6.187,5.398,4.026,4.023,2.649,2.225
12/1/1921,5.913,5.331,3.975,3.968,2.606,1.981
1/1/1922,5.883,5.23,3.847,3.844,2.46,1.829
2/1/1922,6.005,5.313,3.917,3.914,2.515,1.768
3/1/1922,6.035,5.346,3.962,3.953,2.56,1.951
4/1/1922,6.309,5.41,4.017,4.011,2.612,2.103
5/1/1922,5.913,5.337,3.947,3.947,2.554,2.012
6/1/1922,5.852,5.389,3.993,3.984,2.579,2.134
7/1/1922,5.883,5.392,3.978,3.975,2.554,2.012
8/1/1922,5.852,5.41,3.993,3.987,2.563,1.951
9/1/1922,6.035,5.374,3.975,3.968,2.563,2.012
10/1/1922,5.913,5.401,4.023,4.017,2.633,1.859
11/1/1922,6.035,5.377,4.017,4.014,2.649,2.073
12/1/1922,5.822,5.288,3.95,3.938,2.588,1.92
1/1/1923,6.005,5.38,4.045,4.042,2.704,2.103
2/1/1923,6.096,5.361,3.981,3.975,2.585,1.981
3/1/1923,6.096,5.395,3.965,3.962,2.53,1.981
4/1/1923,6.126,5.413,3.996,3.987,2.563,1.646
5/1/1923,6.035,5.392,3.999,3.993,2.591,1.89
6/1/1923,6.066,5.398,4.011,3.999,2.603,2.012
7/1/1923,5.852,5.358,3.962,3.956,2.557,2.103
8/1/1923,5.791,5.343,3.956,3.95,2.557,2.195
9/1/1923,5.791,5.304,3.929,3.926,2.545,2.042
10/1/1923,NaN,5.355,3.975,3.968,2.582,NaN
11/1/1923,NaN,5.389,4.023,4.014,2.64,NaN
12/1/1923,NaN,5.331,3.965,3.953,2.579,1.89
1/1/1924,5.944,5.267,3.889,3.883,2.499,1.768
2/1/1924,6.066,5.355,3.972,3.968,2.579,2.073
3/1/1924,5.852,5.474,4.075,4.072,2.673,2.134
4/1/1924,6.035,5.416,4.014,4.008,2.603,1.981
